ranker,player,team,fantasy_pos,age,g,gs,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,fumbles,fumbles_lost,all_td,two_pt_md,two_pt_pass,fantasy_points,fantasy_points_ppr,draftkings_points,fanduel_points,vbd,fantasy_rank_pos,fantasy_rank_overall,player_id
399,Mike Glennon,TAM,QB,27,2,0,10,11,75,1,0,0,0,,0,0,0,0,,0,0,0,0,,1,9,9.0,9.0,9.0,,53,,GlenMi00
400,T.J. Jones,DET,WR,24,3,0,0,0,0,0,0,0,0,,0,14,5,93,18.60,0,0,0,0,,,9,14.3,14.3,11.8,,158,,JoneT.00
401,Tyler Kroft,CIN,TE,24,14,11,0,0,0,0,0,0,0,,0,12,10,92,9.20,0,0,0,0,,,9,19.2,19.2,14.2,,73,,KrofTy00
402,Tommylee Lewis,NOR,WR,24,12,1,0,0,0,0,0,3,11,3.67,0,11,7,76,10.86,0,2,0,0,,,9,15.7,15.7,12.2,,161,,LewiTo00
403,Marcel Reece,SEA,WR,31,4,0,0,0,0,0,0,2,0,0.00,0,5,5,73,14.60,0,0,0,0,1,,9,14.3,14.3,11.8,,159,,ReecMa00
404,Drew Stanton,ARI,QB,32,5,1,19,48,192,2,3,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,9,9.4,12.4,12.4,,51,,StanDr00
405,Juwan Thompson,DEN,RB,24,8,1,0,0,0,0,0,8,26,3.25,1,1,0,0,,0,0,0,1,,,9,8.6,8.6,8.6,,120,,ThomJu01
406,Scott Tolzien,IND,QB,29,3,1,23,37,216,1,2,6,3,0.50,0,0,0,0,,0,1,0,0,,,9,8.9,10.9,10.9,,54,,TolzSc00
407,Fitzgerald Toussaint,PIT,RB,26,16,0,0,0,0,0,0,14,58,4.14,0,3,3,33,11.00,0,0,0,0,,,9,12.1,12.1,10.6,,117,,TousFi00
408,Bryce Treggs,PHI,WR,22,9,1,0,0,0,0,0,2,7,3.50,0,12,3,80,26.67,0,0,0,0,,,9,11.7,11.7,10.2,,162,,TregBr00
409,Terrell Watson,PHI,RB,23,1,0,0,0,0,0,0,9,28,3.11,1,1,1,5,5.00,0,0,0,1,,,9,10.3,10.3,9.8,,116,,WatsTe00
410,Derek Watt,SDG,RB,24,16,2,0,0,0,0,0,2,4,2.00,0,4,4,83,20.75,0,0,0,0,,,9,12.7,12.7,10.7,,118,,WattDe00
411,Charlie Whitehurst,CLE,QB,34,1,0,14,24,182,1,1,2,1,0.50,0,0,0,0,,0,0,0,0,,,9,9.4,10.4,10.4,,52,,WhitCh02
412,Andre Williams,SDG,RB,24,1,0,0,0,0,0,0,18,87,4.83,0,2,0,0,,0,0,0,0,,,9,8.7,8.7,8.7,,119,,WillAn00
413,Trevone Boykin,SEA,QB,23,5,0,13,18,145,1,1,8,1,0.13,0,0,0,0,,0,1,0,0,,,8,7.9,8.9,8.9,,56,,BoykTr00
414,Ryan Grant,WAS,WR,26,16,1,0,0,0,0,0,0,0,,0,19,9,76,8.44,0,0,0,0,,,8,16.6,16.6,12.1,,165,,GranRy01
415,Connor Hamlett,CLE,TE,24,3,2,0,0,0,0,0,0,0,,0,1,1,17,17.00,1,0,0,1,,,8,8.7,8.7,8.2,,77,,HamlCo01
416,Rashard Higgins,CLE,WR,22,16,0,0,0,0,0,0,0,0,,0,12,6,77,12.83,0,0,0,0,,,8,13.7,13.7,10.7,,164,,HiggRa00
417,Cody Latimer,DEN,WR,24,12,1,0,0,0,0,0,0,0,,0,15,8,76,9.50,0,0,0,0,,,8,15.6,15.6,11.6,,166,,LatiCo00
418,Matt Lengel,NWE,TE,26,6,0,0,0,0,0,0,0,0,,0,3,2,22,11.00,1,0,0,1,,,8,10.2,10.2,9.2,,76,,LengMa00
419,Geno Smith,NYJ,QB,26,2,1,8,14,126,1,1,2,9,4.50,0,0,0,0,,0,1,0,0,,,8,7.9,8.9,8.9,,55,,SmitGe00
420,Wendall Williams,HOU,WR,26,3,0,0,0,0,0,0,0,0,,0,7,4,75,18.75,0,0,0,0,,,8,11.5,11.5,9.5,,167,,WillWe00
421,Malcolm Brown,LAR,RB,23,16,0,0,0,0,0,0,18,39,2.17,0,3,3,46,15.33,0,1,1,0,,,7,9.5,10.5,8.0,,123,,BrowMa03
422,Aaron Burbridge,SFO,WR,23,16,3,0,0,0,0,0,0,0,,0,16,7,88,12.57,0,1,1,0,,,7,13.8,14.8,10.3,,171,,BurbAa00
423,Michael Campanaro,BAL,WR,25,3,0,0,0,0,0,0,3,72,24.00,0,1,0,0,,0,0,0,0,,,7,7.2,7.2,7.2,,168,,CampMi02
424,Josh Doctson,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,6,2,66,33.00,0,0,0,0,,,7,8.6,8.6,7.6,,172,,DoctJo00
425,Alex Erickson,CIN,WR,24,16,0,0,0,0,0,0,0,0,,0,8,6,71,11.83,0,3,0,0,,,7,13.1,13.1,10.1,,169,,EricAl01
426,Jerome Felton,BUF,RB,30,15,4,0,0,0,0,0,8,13,1.63,0,9,6,57,9.50,0,0,0,0,,,7,13.0,13.0,10.0,,122,,FeltJe00
427,Maurice Harris,WAS,WR,24,10,0,0,0,0,0,0,0,0,,0,12,8,66,8.25,0,1,0,0,,,7,14.6,14.6,10.6,,173,,HarrMa05
428,EJ Manuel,BUF,QB,26,6,1,11,26,131,0,0,8,22,2.75,0,0,0,0,,0,2,1,0,,1,7,7.4,8.4,7.4,,57,,ManuEJ00
429,Byron Marshall,PHI,RB,22,3,0,0,0,0,0,0,19,64,3.37,0,5,3,10,3.33,0,0,0,0,,,7,10.4,10.4,8.9,,121,,MarsBy01
430,Keith Mumphery,HOU,WR,24,11,3,0,0,0,0,0,0,0,,0,12,10,69,6.90,0,0,0,0,,,7,16.9,16.9,11.9,,170,,MumpKe00
431,Geoff Swaim,DAL,TE,23,9,6,0,0,0,0,0,0,0,,0,8,6,69,11.50,0,0,0,0,,,7,12.9,12.9,9.9,,78,,SwaiGe00
432,Keenan Allen,SDG,WR,24,1,1,0,0,0,0,0,0,0,,0,7,6,63,10.50,0,0,0,0,,,6,12.3,12.3,9.3,,175,,AlleKe00
433,Jace Amaro,TEN,TE,24,3,0,0,0,0,0,0,0,0,,0,4,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,82,,AmarJa00
434,Brandon Bostick,NYJ,TE,27,16,7,0,0,0,0,0,0,0,,0,11,8,63,7.88,0,0,0,0,,,6,14.3,14.3,10.3,,79,,BostBr00
435,Connor Cook,OAK,QB,23,1,0,14,21,150,1,1,0,0,,0,0,0,0,,0,2,1,0,,,6,6.0,8.0,7.0,,58,,CookCo00
436,Trevor Davis,GNB,WR,23,11,0,0,0,0,0,0,0,0,,0,7,3,24,8.00,1,2,1,1,,,6,9.4,10.4,7.9,,174,,DaviTr03
437,Johnny Holton,OAK,WR,26,15,0,0,0,0,0,0,6,43,7.17,0,3,2,34,17.00,0,1,1,0,,,6,7.7,8.7,6.7,,177,,HoltJo00
438,Adrian Peterson,MIN,RB,31,3,3,0,0,0,0,0,37,72,1.95,0,6,3,8,2.67,0,1,1,0,,,6,9.0,10.0,7.5,,125,,PeteAd01
439,Phillip Supernaw,TEN,TE,26,15,2,0,0,0,0,0,0,0,,0,5,4,62,15.50,0,0,0,0,,,6,10.2,10.2,8.2,,80,,SupePh00
440,De'Anthony Thomas,KAN,RB,23,12,0,0,0,0,0,0,4,29,7.25,0,9,7,35,5.00,0,0,0,0,,,6,13.4,13.4,9.9,,124,,ThomDe05
441,D.J. Tialavea,ATL,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,81,,TialD.00
442,Nick Williams,ATL,WR,26,2,0,0,0,0,0,0,0,0,,0,7,5,59,11.80,0,0,0,0,,,6,10.9,10.9,8.4,,176,,WillNi02
443,Javorius Allen,BAL,RB,25,8,0,0,0,0,0,0,9,34,3.78,0,4,3,15,5.00,0,0,0,0,,,5,7.9,7.9,6.4,,127,,AlleJa01
444,Knile Davis,2TM,RB,25,11,0,0,0,0,0,0,18,28,1.56,0,7,5,25,5.00,0,0,0,0,,,5,10.3,10.3,7.8,,126,,DaviKn00
445,Dwayne Harris*,NYG,WR,29,16,1,0,0,0,0,0,0,0,,0,1,1,13,13.00,1,3,1,1,,,5,6.3,7.3,5.8,,178,,HarrDw00
446,Tavarres King,NYG,WR,26,7,0,0,0,0,0,0,0,0,,0,4,2,50,25.00,0,0,0,0,,,5,7.0,7.0,6.0,,179,,KingTa00
447,Ifeanyi Momah,ARI,WR,27,5,1,0,0,0,0,0,0,0,,0,4,2,50,25.00,0,0,0,0,,,5,7.0,7.0,6.0,,180,,MomaIf00
448,Troymaine Pope,2TM,RB,23,4,0,0,0,0,0,0,12,44,3.67,0,2,1,5,5.00,0,0,0,0,,,5,5.9,5.9,5.4,,128,,PopeTr00
449,Tony Romo,DAL,QB,36,1,0,3,4,29,1,0,0,0,,0,0,0,0,,0,0,0,0,,,5,5.2,5.2,5.2,,59,,RomoTo00
450,Brandon Wilds,NYJ,RB,23,4,0,0,0,0,0,0,10,27,2.70,0,2,2,20,10.00,0,0,0,0,,,5,6.7,6.7,5.7,,129,,WildBr01
451,Nick Boyle,BAL,TE,23,6,0,0,0,0,0,0,0,0,,0,6,6,44,7.33,0,0,0,0,,,4,10.4,10.4,7.4,,83,,BoylNi00
452,Ben Braunecker,CHI,TE,22,13,2,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,0,0,0,,,4,8.1,8.1,6.1,,84,,BrauBe00
453,Quan Bray,IND,WR,23,6,0,0,0,0,0,0,1,7,7.00,0,4,3,36,12.00,0,0,0,0,,,4,7.3,7.3,5.8,,181,,BrayQu00
454,Jakeem Grant,MIA,WR,24,16,0,0,0,0,0,0,1,1,1.00,0,1,0,0,,0,4,1,1,,,4,4.1,5.1,4.1,,182,,GranJa00
455,Mike James,TAM,RB,25,4,0,0,0,0,0,0,4,19,4.75,0,4,4,22,5.50,0,0,0,0,,,4,8.1,8.1,6.1,,131,,JameMi00
456,Taiwan Jones,OAK,RB,28,13,0,0,0,0,0,0,1,-8,-8.00,0,4,4,43,10.75,0,0,0,0,,,4,7.5,7.5,5.5,,132,,JoneTa00
