"Rank","Player","Team","Bye","POS","AVG"
"279","Jonathan Mingo","CAR","11","WR100","272.0"
"280","Bo Melton","GB","10","WR101","279.5"
"281","Kalif Raymond","DET","5","WR102","241.0"
"282","K.J. Osborn","NE","14","WR103","268.5"
"283","Nyheim Hines","CLE","10","RB80","262.5"
"284","Chase Claypool","BUF","12","WR104","280.0"
"285","Tre Tucker","LV","10","WR105","276.3"
"286","Los Angeles Chargers","DST","5","DST23","245.0"
"287","Jauan Jennings","SF","9","WR106","272.0"
"288","Dalvin Cook","","","RB81","261.5"
"289","Cedric Tillman","CLE","10","WR107","288.0"
"290","Seattle Seahawks","DST","10","DST24","248.0"
"291","Xavier Gipson","NYJ","12","WR108","282.0"
"292","Atlanta Falcons","DST","12","DST25","249.0"
"293","Joe Flacco","IND","14","QB38","265.5"
"294","Brenden Rice","LAC","5","WR109","268.5"
"295","Justin Watson","KC","6","WR110","252.0"
"296","Jawhar Jordan","HOU","14","RB82","253.0"
"297","Tyler Higbee","LAR","6","TE42","254.0"
"298","Deuce Vaughn","DAL","7","RB83","269.0"
"299","Denver Broncos","DST","14","DST26","255.0"
"300","Tutu Atwell","LAR","6","WR111","280.0"
"301","Trey Sermon","IND","14","RB84","281.0"
"302","Emari Demercado","ARI","11","RB85","257.0"
"303","New York Giants","DST","11","DST27","258.0"
"304","Rasheen Ali","BAL","14","RB86","272.5"
"305","Josh Reynolds","DEN","14","WR112","269.0"
"306","Noah Brown","HOU","14","WR113","287.0"
"307","Parker Washington","JAC","12","WR114","265.0"
"308","Sam Howell","SEA","10","QB39","266.0"
"309","Ryan Flournoy","DAL","7","WR115","267.0"
"310","Kadarius Toney","KC","6","WR116","280.5"
"311","Trey Palmer","TB","11","WR117","284.5"
"312","Marquez Valdes-Scantling","BUF","12","WR118","283.0"
"313","Treylon Burks","TEN","5","WR119","277.5"
"314","Johnny Wilson","PHI","5","WR120","273.0"
"315","Michael Thomas","","","WR121","278.0"
"316","Frank Gore Jr.","BUF","12","RB87","280.0"
"317","Jarrett Stidham","DEN","14","QB40","288.0"
"318","Los Angeles Rams","DST","6","DST28","290.0"
"319","Chris Rodriguez Jr.","WAS","14","RB88","291.0"
"320","Davis Allen","LAR","6","TE43","292.0"
"321","Tim Patrick","DEN","14","WR122","294.0"
"322","Tennessee Titans","DST","5","DST29","297.0"
"323","D'Ernest Johnson","JAC","12","RB89","298.0"
"324","Ainias Smith","PHI","5","WR123","301.0"
"325","Kenny Pickett","PHI","5","QB41","308.0"
"326","Washington Commanders","DST","14","DST30","309.0"
"327","Lucas Krull","DEN","14","TE44","312.0"
"328","Tyler Scott","CHI","7","WR124","313.0"
"329","Arizona Cardinals","DST","11","DST31","314.0"
"330","Spencer Rattler","NO","12","QB42","318.0"
"331","Rashaad Penny","CAR","11","RB90","320.0"
"332","Nelson Agholor","BAL","14","WR125","321.0"
"333","Jameis Winston","CLE","10","QB43","322.0"
"334","Tyquan Thornton","NE","14","WR126","323.0"
"335","Marcus Mariota","WAS","14","QB44","324.0"
"336","Jordan Mason","SF","9","RB91","326.0"
"337","Robert Tonyan","MIN","6","TE45","327.0"
"338","Ty Johnson","BUF","12","RB92","328.0"
""
""
