"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"49","Allen Robinson II","NYG","9","WR22","","","","50.5"
"50","Golden Tate","","","WR23","","","","53.0"
"51","Jimmy Graham","","","TE4","","","","53.5"
"52","Tom Brady","","","QB3","","","","54.5"
"53","Marvin Jones Jr. ","","","WR24","","","","56.0"
"54","Russell Wilson","PIT","7","QB4","","","","57.0"
"55","Marshawn Lynch ","","","RB23","","","","58.0"
"56","Carlos Hyde","","","RB24","","","","58.5"
"57","Dion Lewis","","","RB25","","","","59.5"
"58","Chris Hogan","","","WR25","","","","60.0"
"59","Rashaad Penny","CAR","4","RB26","","","","61.0"
"60","Greg Olsen","","","TE5","","","","63.0"
"61","Alshon Jeffery","","","WR26","","","","64.5"
"62","Cam Newton ","","","QB5","","","","66.0"
"63","Corey Davis","","","WR27","","","","67.0"
"64","Evan Engram","JAC","9","TE6","","","","68.0"
"65","Michael Crabtree","","","WR28","","","","68.5"
"66","Tevin Coleman","","","RB27","","","","68.5"
"67","Sony Michel","","","RB28","","","","69.0"
"68","Drew Brees","","","QB6","","","","70.0"
"69","Marquise Goodwin","","","WR29","","","","70.5"
"70","Kerryon Johnson ","","","RB29","","","","70.5"
"71","Julian Edelman ","","","WR30","","","","72.0"
"72","Rex Burkhead","","","RB30","","","","73.5"
"73","Emmanuel Sanders ","","","WR31","","","","73.5"
"74","Jamaal Williams","NO","6","RB31","","","","74.0"
"75","Sammy Watkins","","","WR32","","","","75.0"
"76","William Fuller V ","","","WR33","","","","76.5"
"77","Carson Wentz","KC","12 ","QB7","","","","77.5"
"78","Delanie Walker ","","","TE7","","","","77.5"
"79","Kyle Rudolph","","","TE8","","","","78.0"
"80","Ronald Jones","II","","RB32","","","","78.5"
"81","Devin Funchess","","","WR34","","","","79.5"
"82","Trey Burton ","","","TE9","","","","81.5"
"83","Marlon Mack","","","RB33","","","","85.0"
"84","Kirk Cousins","ATL","8","QB8","","","","85.0"
"85","Cooper Kupp","LAR","12 ","WR35","","","","85.5"
"86","Tarik Cohen","NYJ","11","RB34","","","","86.0"
"87","Isaiah Crowell ","","","RB35","","","","86.5"
"88","Robert Woods","HOU","10","WR36","","","","89.0"
"89","Jordy Nelson","","","WR37","","","","90.0"
"90","Robbie Chosen","","","WR38","","","","92.5"
"91","Jamison Crowder","WAS","4","WR39","","","","93.5"
"92","Pierre Garcon ","","","WR40","","","","95.5"
"93","Jordan Reed ","","","TE10","","","","96.0"
"94","Randall Cobb","","","WR41","","","","96.5"
"95","Chris Carson","","","RB36","","","","97.0"
"96","Andrew Luck","","","QB9","","","","97.0"
"97","Aaron Jones","MIN","10 ","RB37","","","","98.5"
"98","Jimmy Garoppolo","LAR","12 ","QB10","","","","100.5"
"99","Nelson Agholor","BAL","10","WR42","","","","100.5"
"100","Matthew Stafford","LAR","12","QB11","","","","101.5"
"101","Nick Chubb","CLE","11","RB38","","","","104.0"
"102","Duke Johnson Jr.","","","RB39","","","","106.5"
"103","Peyton Barber","","","RB40","","","","108.0"
"104","Kelvin Benjamin","","","WR43","","","","108.0"
"105","Philip Rivers","","","QB12","","","","108.5"
"106","Sterling Shepard","TB","5","WR44","","","","109.5"
"107","Matt Ryan","","","QB13","","","","110.5"
"108","Ben Roethlisberger","","","QB14","","","","111.5"
"109","C.J. Anderson","","","RB41","","","","112.0"
"110","David Njoku","CLE","11","TE11","","","","114.5"
"111","Kenny Stills","","","WR45","","","","115.0"
"112","Patrick Mahomes II","KC","12","QB15","","","","118.0"
"113","Jared Goff","DET","6","QB16","","","","118.5"
"114","Allen Hurns","","","WR46","","","","120.0"
"115","Calvin Ridley","TEN","8","WR47","","","","122.0"
"116","Adrian Peterson","","","RB42","","","","122.5"
"117","DeVante Parker","","","WR48","","","","122.5"
"118","DJ Moore","CHI","5","WR49","","","","122.5"
"119","Latavius Murray","","","RB43","","","","123.0"
"120","Jack Doyle ","","","TE12","","","","124.0"
"121","Ty Montgomery","II","","RB44","","","","124.5"
"122","Corey Clement","","","RB45","","","","125.5"
"123","LeGarrette Blount","","","RB46","","","","128.0"
"124","James White","","","RB47","","","","130.0"
"125","George Kittle","SF","11","TE13","","","","130.5"
"126","Greg Zuerlein","NYJ","11","K1","","","","133.5"
"127","Kenny Golladay","","","WR50","","","","134.0"
"128","Marcus Mariota","WAS","4","QB17","","","","135.0"
"129","Cameron Meredith ","","","WR51","","","","137.5"
"130","Devontae Booker","","","RB48","","","","138.0"
"131","Alex Smith ","","","QB18","","","","138.5"
"132","Stephen Gostkowski","","","K2","","","","139.0"
"133","Bilal Powell ","","","RB49","","","","141.0"
"134","Derek Carr","NO","6","QB19","","","","143.0"
"135","Tyler Eifert ","","","TE14","","","","146.0"
"136","Michael Gallup","LV","","WR52","","","","146.0"
"137","Giovani Bernard","","","RB50","","","","147.0"
"138","Tyler Lockett","SEA","7","WR53","","","","148.0"
"139","Justin Tucker","BAL","10","K3","","","","148.5"
"140","Dak Prescott","DAL","8","QB20","","","","151.5"
"141","Matt Breida ","","","RB51","","","","152.0"
"142","D'Onta Foreman","CLE","11","RB52","","","","153.0"
"143","Doug Martin","","","RB53","","","","153.5"
"144","O.J. Howard","","","TE15","","","","154.0"
"145","Chris Thompson","","","RB54","","","","171.5"
"146","Keelan Cole Sr.","","","WR54","","","","154.5"
"147","Jacksonville Jaguars","DST","9","DST1","","","","95.0"
"148","Anthony Miller","","","WR55","","","","157.5"
"149","Martavis Bryant ","","","WR56","","","","158.5"
"150","Mike Williams","NYJ","11","WR57","","","","240.0"
"151","Josh Doctson","","","WR58","","","","160.5"
"152","Mohamed Sanu Sr.","","","WR59","","","","160.5"
"153","Los Angeles Rams","DST","12","DST2","","","","106.0"
"154","Rishard Matthews","","","WR60","","","","163.0"
"155","Minnesota Vikings","DST","10","DST3","","","","111.0"
"156","Dez Bryant ","","","WR61","","","","112.0"
"157","Marqise Lee ","","","WR62","","","","113.0"
"158","Jameis Winston","CLE","11 ","QB21","","","","165.5"
"159","Eric Ebron","","","TE16","","","","167.0"
"160","Mitchell Trubisky","BUF","11","QB22","","","","168.0"
"161","Jordan Wilkins","","","RB55","","","","169.0"
"162","Alfred Morris","","","RB56","","","","169.5"
"163","Philadelphia Eagles","DST","9","DST4","","","","123.0"
"164","Chris Godwin","TB","5","WR63","","","","170.0"
"165","Dede Westbrook","","","WR64","","","","170.0"
"166","Los Angeles Chargers","DST","8","DST5","","","","127.0"
"167","Austin Seferian-Jenkins","","","TE17","","","","172.5"
"168","Wil Lutz","DEN","10","K4","","","","172.5"
"169","Eli Manning","","","QB23","","","","174.0"
"170","Austin Hooper","NE","11","TE18","","","","176.5"
"171","John Brown","","","WR65","","","","180.5"
"172","Houston Texans","DST","10","DST6","","","","137.0"
"173","Baltimore Ravens","DST","10","DST7","","","","138.0"
"174","DeSean Jackson","","","WR66","","","","139.0"
"175","Geronimo Allison ","","","WR67","","","","178.5"
"176","Jake Elliott","PHI","9","K5","","","","179.0"
"177","Benjamin Watson","","","TE19","","","","179.5"
"178","Robert Kelley","","","RB57","","","","179.5"
"179","Theo Riddick","","","RB58","","","","143.0"
"180","Denver Broncos","DST","10","DST8","","","","148.0"
"181","Nyheim Hines","CLE","11","RB59","","","","148.0"
"182","Christian Kirk","JAC","9 ","WR68","","","","183.0"
"183","Case Keenum","HOU","10","QB24","","","","183.5"
"184","Cameron Brate","","","TE20","","","","151.0"
"185","New Orleans Saints","DST","6","DST9","","","","152.0"
"186","Austin Ekeler","WAS","4","RB60","","","","184.5"
"187","Alex Erickson","","","WR69","","","","154.0"
"188","Frank Gore ","","","RB61","","","","186.0"
"189","Andy Dalton","CAR","4 ","QB25","","","","186.5"
"190","Pharoh Cooper","","","WR70","","","","157.0"
"191","Tyrell Williams","","","WR71","","","","187.0"
"192","Tyrod Taylor","NYJ","11","QB26","","","","187.5"
"193","Ryan Switzer","","","WR72","","","","159.0"
"194","Ricky Seals-Jones","","","TE21","","","","188.0"
"195","Donte Moncrief","","","WR73","","","","188.5"
"196","Jonathan Williams","","","RB62","","","","161.0"
"197","James Conner","ARI","9","RB63","","","","189.5"
"198","Paul Richardson Jr. ","","","WR74","","","","163.0"
"199","John Ross","PHI","9","WR75","","","","201.0"
"200","Ted Ginn Jr.","","","WR76","","","","165.0"
"201","Harrison Butker","KC","12","K6","","","","191.5"
"202","Jared Cook","","","TE22","","","","172.0"
"203","Danny Amendola","","","WR77","","","","194.5"
"204","Chicago Bears","DST","5","DST10","","","","173.0"
"205","Blake Bortles","","","QB27","","","","173.0"
"206","Matt Bryant","","","K7","","","","195.0"
"207","Carolina Panthers","DST","4","DST11","","","","176.0"
"208","Courtland Sutton","DEN","10","WR78","","","","196.5"
"209","Mike Gesicki","CIN","9","TE23","","","","179.0"
"210","Jakeem Grant Sr.","","","WR79","","","","181.0"
"211","Andre Roberts","","","WR80","","","","182.0"
"212","Samaje Perine","DEN","10","RB64","","","","184.0"
"213","T.J. Yeldon","","","RB65","","","","201.0"
"214","Robbie Gould","","","K8","","","","201.0"
"215","Spencer Ware","","","RB66","","","","201.0"
"216","Hayden Hurst","LAC","8","TE24","","","","187.0"
"217","John Kelly Jr.","CLE","11","RB67","","","","232.5"
"218","Cleveland Browns","DST","11","DST12","","","","190.0"
"219","Vance McDonald","","","TE25","","","","191.0"
"220","New England Patriots","DST","11","DST13","","","","192.0"
"221","Pittsburgh Steelers","DST","7","DST14","","","","195.0"
"222","Chris Ivory","","","RB68","","","","195.0"
"223","Chris Boswell","PIT","7 ","K9","","","","206.0"
"224","Charles Clay","","","TE26","","","","197.0"
"225","Javorius Allen","","","RB69","","","","198.0"
"226","Kenneth Dixon","","","RB70","","","","199.0"
"227","Jeremy Hill ","","","RB71","","","","200.0"
"228","Quincy Enunwa","","","WR81","","","","224.5"
"229","Atlanta Falcons","DST","8","DST15","","","","202.0"
"230","Arizona Cardinals","DST","9","DST16","","","","203.0"
"231","Mason Crosby","","","K10","","","","210.0"
"232","Kalen Ballage","","","RB72","","","","204.0"
"233","Ryan Tannehill","","","QB28","","","","208.0"
"234","Daniel Carlson","LV","","K11","","","","226.5"
"235","Tennessee Titans","DST","8","DST17","","","","209.0"
"236","Jordan Matthews","CAR","4","WR82","","","","209.0"
"237","Matt Prater","ARI","9","K12","","","","214.0"
"238","Dan Bailey","","","K13","","","","277.5"
"239","James Washington","","","WR83","","","","212.0"
"240","Detroit Lions","DST","6","DST18","","","","213.0"
"241","Jake Butt ","","","TE27","","","","214.0"
"242","Adam Vinatieri","","","K14","","","","250.0"
"243","Brandon McManus","","","K15","","","","235.5"
"244","Tavon Austin","","","WR84","","","","216.0"
"245","Graham Gano","NYG","9 ","K16","","","","243.0"
"246","Lamar Jackson","BAL","10","QB29","","","","219.0"
"247","Trevor Davis","","","WR85","","","","220.0"
"248","Josh Lambo","","","K17","","","","221.0"
"249","Terrelle Pryor Sr.","","","WR86","","","","222.0"
"250","Baker Mayfield","TB","5","QB30","","","","223.0"
"251","Jermaine Kearse","","","WR87","","","","224.0"
"252","Luke Willson","","","TE28","","","","226.0"
"253","Cole Beasley","","","WR88","","","","227.0"
"254","Willie Snead","IV","","WR89","","","","228.0"
"255","Ka'imi Fairbairn","HOU","10","K18","","","","229.0"
"256","Sam Bradford","","","QB31","","","","231.0"
"257","Phillip Dorsett II","DEN","10","WR90","","","","232.0"
"258","Corey Coleman","","","WR91","","","","233.0"
"259","Jaylen Samuels","","","RB73","","","","234.0"
"260","Albert Wilson ","","","WR92","","","","235.0"
"261","Jesse James","","","TE29","","","","236.0"
"262","Dallas Goedert","PHI","9","TE30","","","","237.0"
"263","Mike Wallace ","","","WR93","","","","238.0"
"264","Travis Benjamin","","","WR94","","","","240.0"
"265","Joe Flacco","IND","9","QB32","","","","241.0"
"266","Ryan Griffin","","","TE31","","","","242.0"
"267","Vernon Davis","","","TE32","","","","243.0"
