"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"44","Ameer Abdullah","LV","","RB21","","","","42","","49.0"
"45","Keenan Allen","CHI","7","WR20","","","","53","","49.3"
"46","Joseph Randle","","","RB22","","","","43","","49.8"
"47","Jeremy Maclin","","","WR21","","","","44","","50.0"
"48","Jonathan Stewart","","","RB23","","","","46","","50.3"
"49","Greg Olsen","","","TE3","","","","48","","50.5"
"50","Jarvis Landry","","","WR22","","","","60","","51.0"
"51","Travis Kelce","KC","9","TE4","","","","55","","51.5"
"52","Peyton Manning","","","QB3","","","","54","","52.3"
"53","Drew Brees","","","QB4","","","","47","","54.5"
"54","Sammy Watkins","","","WR23","","","","57","","55.8"
"55","T.J. Yeldon","","","RB24","","","","59","","56.0"
"56","C.J. Spiller","","","RB25","","","","50","","56.3"
